일자,달러/배럴
2020-01-01,66
2020-01-02,66.25
2020-01-03,68.6
2020-01-04,68.6
2020-01-05,68.6
2020-01-06,68.91
2020-01-07,68.27
2020-01-08,65.44
2020-01-09,65.37
2020-01-10,64.98
2020-01-11,64.98
2020-01-12,64.98
2020-01-13,64.2
2020-01-14,64.49
2020-01-15,64
2020-01-16,64.62
2020-01-17,64.85
2020-01-18,64.85
2020-01-19,64.85
2020-01-20,65.2
2020-01-21,64.59
2020-01-22,63.21
2020-01-23,62.04
2020-01-24,60.69
2020-01-25,60.69
2020-01-26,60.69
2020-01-27,59.32
2020-01-28,59.51
2020-01-29,59.81
2020-01-30,58.29
2020-01-31,58.16
2020-02-01,58.16
2020-02-02,58.16
2020-02-03,54.45
2020-02-04,53.96
2020-02-05,55.28
2020-02-06,54.93
2020-02-07,54.47
2020-02-08,54.47
2020-02-09,54.47
2020-02-10,53.27
2020-02-11,54.01
2020-02-12,55.79
2020-02-13,56.34
2020-02-14,57.32
2020-02-15,57.32
2020-02-16,57.32
2020-02-17,57.67
2020-02-18,57.75
2020-02-19,59.12
2020-02-20,59.31
2020-02-21,58.5
2020-02-22,58.5
2020-02-23,58.5
2020-02-24,56.3
2020-02-25,54.95
2020-02-26,53.43
2020-02-27,52.18
2020-02-28,50.52
2020-02-29,50.52
2020-03-01,50.52
2020-03-02,51.9
2020-03-03,51.86
2020-03-04,51.13
2020-03-05,49.99
2020-03-06,45.27
2020-03-07,45.27
2020-03-08,45.27
2020-03-09,34.36
2020-03-10,37.22
2020-03-11,35.79
2020-03-12,33.22
2020-03-13,33.85
2020-03-14,33.85
2020-03-15,33.85
2020-03-16,30.05
2020-03-17,28.73
2020-03-18,24.88
2020-03-19,28.47
2020-03-20,26.98
2020-03-21,26.98
2020-03-22,26.98
2020-03-23,27.03
2020-03-24,27.15
2020-03-25,27.39
2020-03-26,26.34
2020-03-27,24.93
2020-03-28,24.93
2020-03-29,24.93
2020-03-30,22.76
2020-03-31,22.74
2020-04-01,24.74
2020-04-02,29.94
2020-04-03,34.11
2020-04-04,34.11
2020-04-05,34.11
2020-04-06,33.05
2020-04-07,31.87
2020-04-08,32.84
2020-04-09,31.48
2020-04-10,31.48
2020-04-11,31.48
2020-04-12,31.48
2020-04-13,31.74
2020-04-14,29.6
2020-04-15,27.69
2020-04-16,27.82
2020-04-17,28.08
2020-04-18,28.08
2020-04-19,28.08
2020-04-20,25.57
2020-04-21,19.33
2020-04-22,20.37
2020-04-23,21.33
2020-04-24,21.44
2020-04-25,21.44
2020-04-26,21.44
2020-04-27,19.99
2020-04-28,20.46
2020-04-29,22.54
2020-04-30,25.27
2020-05-01,26.44
2020-05-02,26.44
2020-05-03,26.44
2020-05-04,27.2
2020-05-05,30.97
2020-05-06,29.72
2020-05-07,29.46
2020-05-08,30.97
2020-05-09,30.97
2020-05-10,30.97
2020-05-11,29.63
2020-05-12,29.98
2020-05-13,29.19
2020-05-14,31.13
2020-05-15,32.5
2020-05-16,32.5
2020-05-17,32.5
2020-05-18,34.81
2020-05-19,34.65
2020-05-20,35.75
2020-05-21,36.06
2020-05-22,35.13
2020-05-23,35.13
2020-05-24,35.13
2020-05-25,35.53
2020-05-26,36.17
2020-05-27,34.74
2020-05-28,35.29
2020-05-29,35.33
2020-05-30,35.33
2020-05-31,35.33
2020-06-01,38.32
2020-06-02,39.57
2020-06-03,39.79
2020-06-04,39.99
2020-06-05,42.3
2020-06-06,42.3
2020-06-07,42.3
2020-06-08,40.8
2020-06-09,41.18
2020-06-10,41.73
2020-06-11,38.55
2020-06-12,38.73
2020-06-13,38.73
2020-06-14,38.73
2020-06-15,39.72
2020-06-16,40.96
2020-06-17,40.71
2020-06-18,41.51
2020-06-19,42.19
2020-06-20,42.19
2020-06-21,42.19
2020-06-22,43.08
2020-06-23,42.63
2020-06-24,40.31
2020-06-25,41.05
2020-06-26,41.02
2020-06-27,41.02
2020-06-28,41.02
2020-06-29,41.71
2020-06-30,41.15
2020-07-01,42.03
2020-07-02,43.14
2020-07-03,42.8
2020-07-04,42.8
2020-07-05,42.8
2020-07-06,43.1
2020-07-07,43.08
2020-07-08,43.29
2020-07-09,42.35
2020-07-10,43.24
2020-07-11,43.24
2020-07-12,43.24
2020-07-13,42.72
2020-07-14,42.9
2020-07-15,43.79
2020-07-16,43.37
2020-07-17,43.14
2020-07-18,43.14
2020-07-19,43.14
2020-07-20,43.28
2020-07-21,44.32
2020-07-22,44.29
2020-07-23,43.31
2020-07-24,43.34
2020-07-25,43.34
2020-07-26,43.34
2020-07-27,43.41
2020-07-28,43.22
2020-07-29,43.75
2020-07-30,42.94
2020-07-31,43.3
2020-08-01,43.3
2020-08-02,43.3
2020-08-03,44.15
2020-08-04,44.43
2020-08-05,45.17
2020-08-06,45.09
2020-08-07,44.4
2020-08-08,44.4
2020-08-09,44.4
2020-08-10,44.99
2020-08-11,44.5
2020-08-12,45.43
2020-08-13,44.96
